Unit,Date_read,Days,New_odometer,L2_DiameterFIX,R2_DiameterFIX,L2_Flange_width,R2_Flange_width,L2_Flange_height,R2_Flange_height,L2_Tread_hollowing,R2_Tread_hollowing,L2_Arris,R2_Arris,Maintain,Change in L2_Flange_Width
VL351B,12/01/2010,0,304858.0,86.0,86.0,28.0,27.0,28.0,27.0,0.5,0.0,0.0,0.0,None,0.0
VL351B,24/02/2010,43,317266.0,89.0,89.0,27.0,26.0,29.0,28.0,0.5,0.5,1.0,1.0,None,1.0
VL351B,16/03/2010,20,324616.0,86.0,86.0,25.0,28.0,29.0,29.0,0.5,0.5,1.5,1.5,None,2.0
VL351B,15/08/2010,152,366653.0,67.0,67.0,25.5,26.0,28.0,28.0,0.0,0.5,0.0,0.0,Normal Maintain,-0.5
VL351B,14/02/2011,183,429074.0,48.0,53.0,23.0,27.5,28.5,29.0,0.0,0.0,0.0,0.0,None,2.5
VL351B,11/04/2011,56,449330.0,48.0,50.0,22.5,27.0,29.0,29.5,1.0,1.0,0.5,0.0,None,0.5
VL351B,26/05/2011,45,386348.8,45.0,45.0,24.0,29.0,29.0,28.0,0.0,0.0,0.0,0.0,Normal Maintain,-1.5
VL351B,19/08/2011,85,454528.0,85.0,85.0,30.0,30.0,29.0,28.0,0.0,0.0,0.0,0.0,Change Wheel,-6.0
VL351B,24/10/2011,66,27824.0,86.0,87.0,27.0,27.0,28.0,28.0,0.5,0.0,0.0,0.0,None,3.0
VL351B,15/11/2011,22,36651.0,86.0,86.0,25.0,25.0,28.0,28.0,0.5,0.5,0.5,0.5,None,2.0
VL351B,24/11/2011,9,27824.0,86.0,87.0,27.0,27.0,28.0,28.0,0.5,0.0,0.0,0.0,Normal Maintain,-2.0
VL351B,5/12/2011,11,43437.0,90.0,90.0,26.0,26.0,28.0,28.5,0.5,0.0,0.0,0.0,None,1.0
VL351B,9/01/2012,35,49172.0,86.0,87.0,26.0,27.0,28.0,30.0,0.5,0.5,0.0,0.0,None,0.0
VL351B,13/02/2012,35,53717.0,80.0,82.0,28.0,29.0,29.0,28.0,0.0,0.0,0.0,0.0,Normal Maintain,-2.0
VL351B,6/03/2012,22,63577.0,80.0,80.0,29.0,27.0,28.0,28.0,0.0,0.0,0.0,0.0,Normal Maintain,-1.0
VL351B,8/05/2012,63,88913.0,80.0,80.0,27.0,28.0,29.0,28.0,0.0,0.0,0.0,0.0,None,2.0
VL351B,12/06/2012,35,100771.0,76.0,76.0,26.5,26.0,28.0,28.0,0.5,0.5,0.0,0.0,None,0.5
VL351B,9/11/2012,150,128606.0,71.0,71.0,27.0,27.0,29.0,28.0,0.0,0.0,0.0,0.0,Normal Maintain,-0.5
VL351B,10/12/2012,31,137273.0,66.0,68.0,28.0,26.5,28.0,29.0,0.5,0.0,0.0,0.0,Normal Maintain,-1.0
VL351B,4/02/2013,56,155007.0,70.0,70.0,25.0,25.0,29.0,28.0,0.5,0.5,0.0,0.0,None,3.0
VL351B,14/03/2013,38,168637.0,69.0,71.0,25.0,25.0,29.0,29.0,0.0,0.0,0.0,0.5,None,0.0
VL351B,19/03/2013,5,169618.1,55.0,55.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,Normal Maintain,-3.0
VL351B,22/05/2013,64,182176.0,60.0,60.0,24.0,24.0,27.0,28.0,0.0,0.0,0.0,0.0,None,4.0
VL351B,5/06/2013,14,185167.0,45.5,45.5,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,Change Wheel,-4.0
VL351B,16/07/2013,41,188223.0,80.0,80.0,24.5,26.5,29.0,29.5,0.5,0.5,0.0,0.0,None,3.5
VL351B,22/08/2013,37,198746.0,88.0,89.0,25.5,27.5,29.0,29.5,0.0,0.4,0.0,0.0,Normal Maintain,-1.0
VL351B,5/09/2013,14,203237.2,69.5,70.0,30.0,30.0,28.0,28.0,0.0,0.0,0.0,0.0,Change Wheel,-4.5
VL351B,1/10/2013,26,211578.0,74.0,74.0,28.0,29.0,28.0,28.0,0.0,0.0,0.0,0.0,None,2.0
VL351B,1/11/2013,31,220378.0,73.0,75.0,27.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,None,1.0
VL351B,5/12/2013,34,227853.0,75.0,75.0,27.0,28.0,29.0,28.0,0.0,0.0,0.0,0.0,None,0.0
VL351B,30/12/2013,25,234224.0,74.0,75.0,26.0,28.0,29.0,29.0,0.0,0.0,0.0,0.0,None,1.0
VL351B,6/02/2014,38,244104.0,74.0,74.0,26.0,28.0,29.0,29.0,0.0,0.0,0.0,0.0,None,0.0
VL351B,11/03/2014,33,255191.0,73.0,73.0,26.0,28.0,29.0,28.0,0.0,0.0,0.5,0.0,None,0.0
VL351B,14/04/2014,34,266994.0,73.0,73.0,25.0,28.0,30.0,29.0,0.0,0.5,0.7,0.0,None,1.0
VL351B,15/05/2014,31,274780.0,60.0,27.5,27.5,29.5,28.0,29.5,0.2,0.0,0.0,0.0,Normal Maintain,-2.5
VL351B,17/06/2014,33,281228.0,61.0,61.0,28.0,28.0,28.5,28.5,0.0,0.0,0.0,0.0,Normal Maintain,-0.5
VL351B,22/07/2014,35,289959.0,51.0,51.0,29.0,29.0,28.0,28.0,0.0,0.0,0.0,0.0,Normal Maintain,-1.0
VL351B,30/08/2014,39,302177.0,51.0,51.0,26.5,27.0,28.5,28.5,0.5,0.5,0.0,0.0,None,2.5
VL351B,22/12/2014,114,320303.0,50.0,49.0,27.0,29.0,29.0,30.0,0.2,0.2,0.2,0.2,Normal Maintain,-0.5
VL351B,27/01/2015,36,333212.8,48.0,47.0,26.1,27.2,29.0,29.3,0.0,0.0,0.5,0.0,None,0.9
VL351B,29/01/2015,2,333930.0,51.0,51.0,26.0,26.0,28.0,29.0,0.5,0.0,0.5,0.5,None,0.1
VL351B,3/02/2015,5,334642.2,41.5,41.5,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,Normal Maintain,-2.0
VL351B,28/04/2015,84,346608.0,45.0,45.0,26.0,26.5,29.0,29.0,0.0,0.0,0.0,0.0,None,2.0
VL351B,17/02/2016,295,347925.0,88.0,88.0,30.0,30.0,29.0,29.0,0.0,0.0,0.0,0.0,Change Wheel,-4.0
VL351B,4/04/2016,47,349099.0,90.0,90.0,30.0,30.0,28.5,28.5,0.0,0.0,0.0,0.0,None,0.0
VL351B,29/04/2016,25,352322.0,87.0,87.0,28.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,None,2.0
VL351B,2/08/2016,95,376865.0,88.0,88.0,28.5,28.5,29.0,29.0,0.0,0.0,0.0,0.0,Normal Maintain,-0.5
VL351B,13/10/2016,72,399352.0,88.0,88.0,27.0,27.0,29.0,29.0,0.0,0.0,0.0,0.0,None,1.5
VL351B,5/12/2016,53,399734.0,86.0,87.0,26.0,27.5,29.0,29.0,0.0,0.0,0.2,0.0,None,1.0
VL351B,23/12/2016,18,405341.9,72.0,72.0,30.0,30.0,28.0,28.0,0.0,0.0,0.0,0.0,Change Wheel,-4.0
VL351B,23/01/2017,31,415000.0,73.0,73.0,29.0,29.0,28.0,29.0,0.0,0.0,0.0,0.0,None,1.0
VL351B,3/04/2017,70,432159.0,73.0,73.0,28.0,29.0,28.0,29.0,0.8,0.8,0.1,0.0,None,1.0
VL351B,15/05/2017,42,443233.0,69.0,70.0,25.0,26.0,28.0,28.0,1.0,1.0,0.2,0.1,None,3.0
VL351B,9/10/2017,147,450572.7,76.0,76.0,27.5,29.0,29.0,30.0,0.0,0.0,0.5,0.0,Normal Maintain,-2.5
VL351B,19/07/2018,283,462660.1,58.0,58.0,30.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,None,0.0
VL352K,2/10/2009,0,312267.1,85.0,85.0,30.5,29.0,29.5,30.0,1.0,1.0,0.0,0.0,None,0.0
VL352K,17/10/2009,15,323323.0,85.0,85.0,31.0,30.5,31.0,30.5,1.0,1.5,0.0,0.0,Normal Maintain,-0.5
VL352K,27/11/2009,41,344480.0,84.0,83.0,31.0,27.5,30.0,31.0,1.5,1.5,0.0,0.0,None,0.0
VL352K,27/01/2010,61,356056.0,83.0,84.0,31.0,27.5,31.0,32.0,1.5,1.5,0.0,0.3,None,0.0
VL352K,21/04/2010,84,375387.0,86.0,87.0,29.0,27.0,31.5,29.5,1.0,1.5,0.0,0.5,None,2.0
VL352K,5/08/2010,106,397463.0,80.5,80.0,29.0,27.5,28.5,27.5,0.0,0.0,0.0,0.0,None,0.0
VL352K,25/08/2010,20,401400.0,78.0,79.0,27.5,27.5,28.5,28.5,0.0,0.0,0.0,0.0,None,1.5
VL352K,14/10/2010,50,412264.0,76.0,77.0,28.0,27.0,29.0,29.0,0.0,0.5,0.0,0.0,Normal Maintain,-0.5
VL352K,18/04/2011,186,463169.0,75.0,75.0,28.0,25.0,31.0,30.0,0.5,1.0,0.0,0.0,None,0.0
VL352K,18/05/2011,30,468150.0,73.0,72.0,26.0,25.0,30.0,30.0,0.0,0.0,0.0,0.0,None,2.0
